fontName,fontcompany_id,font_style,font_cdn,d_link,ph_content,content
청소년체,8,"font-family: 'Youth', sans-serif;","@font-face {
  font-family: 'Youth';
  font-style: normal;
  font-weight: 400;
  src: url('//cdn.jsdelivr.net/korean-webfonts/1/orgs/othrs/kywa/Youth/Youth.woff2') format('woff2'), url('//cdn.jsdelivr.net/korean-webfonts/1/orgs/othrs/kywa/Youth/Youth.woff') format('woff');
}

.youth * {
 font-family: 'Youth', sans-serif;
}
",https://www.kywa.or.kr/about/about08.jsp,같이 여행갈 수 있는 친구가 있다면 성공한 인생,
KoPub바탕,9,"font-family: 'KoPub Batang', serif;","@import url(//fonts.googleapis.com/earlyaccess/kopubbatang.css);

.kopubbatang * {
 font-family: 'KoPub Batang', serif;
}",http://www.kopus.org/Biz/electronic/Font.aspx,월급은 통장을 스칠뿐 - 스텔라 장,
고도체,10,"font-family: 'Godo', sans-serif;","@font-face {
  font-family: 'Godo';
  font-style: normal;
  font-weight: 400;
  src: url('//cdn.jsdelivr.net/korean-webfonts/1/corps/godo/Godo/GodoM.woff2') format('woff2'), url('//cdn.jsdelivr.net/korean-webfonts/1/corps/godo/Godo/GodoM.woff') format('woff');
}

@font-face {
  font-family: 'Godo';
  font-style: normal;
  font-weight: 700;
  src: url('//cdn.jsdelivr.net/korean-webfonts/1/corps/godo/Godo/GodoB.woff2') format('woff2'), url('//cdn.jsdelivr.net/korean-webfonts/1/corps/godo/Godo/GodoB.woff') format('woff');
}

.godo * {
 font-family: 'Godo', sans-serif;
}
",http://www.godo.co.kr/event/godofont.html,인생 별거 있는 줄 아는데 사실은 별거 없어,
본고딕,11,"font-family: 'Noto Sans KR', sans-serif;","@import url(//fonts.googleapis.com/earlyaccess/notosanskr.css);

.notosanskr * { 
 font-family: 'Noto Sans KR', sans-serif;
}",https://typekit.com/fonts/source-han-sans-korean,니편내편이 어딨어 세상 다 혼자 사는거지,
나눔고딕,12,"font-family: 'Nanum Gothic', sans-serif;","@import url(//fonts.googleapis.com/earlyaccess/nanumgothic.css);

.nanumgothic * {
 font-family: 'Nanum Gothic', sans-serif;
}",http://hangeul.naver.com/2016/nanum,과제는 역시 술과 함께 밤새면서 하는게 진리지,
나눔고딕코딩,12,"font-family: 'Nanum Gothic Coding', monospace;","@import url(//fonts.googleapis.com/earlyaccess/nanumgothiccoding.css);

.nanumgothiccoding * {
 font-family: 'Nanum Gothic Coding', monospace;
}
",http://hangeul.naver.com/2016/nanum,너가 좋은 사람이 되면 좋은 사람이 올거야,
나눔명조,12,"font-family: 'Nanum Myeongjo', serif;","@import url(//fonts.googleapis.com/earlyaccess/nanummyeongjo.css);

.nanummyeongjo * {
 font-family: 'Nanum Myeongjo', serif;
}",http://hangeul.naver.com/2016/nanum,세상은 원래 미인에게 관대한 법이지,
나눔손글씨 붓,12,"font-family: 'Nanum Brush Script', cursive;","@import url(//fonts.googleapis.com/earlyaccess/nanumbrushscript.css);

.nanumbrushscript * {
 font-family: 'Nanum Brush Script', cursive;
}
",http://hangeul.naver.com/2016/nanum,눈치 안보는 척하는 것도 눈치인 거야,
나눔손글씨 펜,12,"font-family: 'Nanum Pen Script', cursive; }","@import url(//fonts.googleapis.com/earlyaccess/nanumpenscript.css);

.nanumpenscript * {
 font-family: 'Nanum Pen Script', cursive;
}",http://hangeul.naver.com/2016/nanum,썸남 같은건 드라마 속에나 존재하는거 아니냐,
나눔바른고딕,12,"font-family: 'NanumBarunGothic', sans-serif;","@font-face {
 font-family: 'NanumBarunGothic';
 font-style: normal;
 font-weight: 400;
 src: url('//cdn.jsdelivr.net/font-nanumlight/1.0/NanumBarunGothicWeb.eot');
 src: url('//cdn.jsdelivr.net/font-nanumlight/1.0/NanumBarunGothicWeb.eot?#iefix') format('embedded-opentype'), url('//cdn.jsdelivr.net/font-nanumlight/1.0/NanumBarunGothicWeb.woff') format('woff'), url('//cdn.jsdelivr.net/font-nanumlight/1.0/NanumBarunGothicWeb.ttf') format('truetype');
}

@font-face {
 font-family: 'NanumBarunGothic';
 font-style: normal;
 font-weight: 700;
 src: url('//cdn.jsdelivr.net/font-nanumlight/1.0/NanumBarunGothicWebBold.eot');
 src: url('//cdn.jsdelivr.net/font-nanumlight/1.0/NanumBarunGothicWebBold.eot?#iefix') format('embedded-opentype'), url('//cdn.jsdelivr.net/font-nanumlight/1.0/NanumBarunGothicWebBold.woff') format('woff'), url('//cdn.jsdelivr.net/font-nanumlight/1.0/NanumBarunGothicWebBold.ttf') format('truetype')
}

@font-face {
 font-family: 'NanumBarunGothic';
 font-style: normal;
 font-weight: 300;
 src: url('//cdn.jsdelivr.net/font-nanumlight/1.0/NanumBarunGothicWebLight.eot');
 src: url('//cdn.jsdelivr.net/font-nanumlight/1.0/NanumBarunGothicWebLight.eot?#iefix') format('embedded-opentype'), url('//cdn.jsdelivr.net/font-nanumlight/1.0/NanumBarunGothicWebLight.woff') format('woff'), url('//cdn.jsdelivr.net/font-nanumlight/1.0/NanumBarunGothicWebLight.ttf') format('truetype');
}

.nanumbarungothic * {
 font-family: 'NanumBarunGothic', sans-serif;
}",http://hangeul.naver.com/2016/nanum,무엇이든지 하려고 하면 돈이 드는 법이다,
