fontName,fontcompany_id,font_style,font_cdn,d_link,ph_content,content
나눔스퀘어,12,"font-family: 'NanumSquare', sans-serif !important;","<link rel=""stylesheet"" type=""text/css"" href=""https://cdn.rawgit.com/moonspam/NanumSquare/master/nanumsquare.css"">
@import url(https://cdn.rawgit.com/moonspam/NanumSquare/master/nanumsquare.css);

.nanumsquare {
    font-family: 'NanumSquare', sans-serif !important;
}",http://hangeul.naver.com/2016/nanum,사람은 책을 만들고 책은 사람을 만든다,
제주고딕,13,"font-family: 'Jeju Gothic', sans-serif;","@import url(//fonts.googleapis.com/earlyaccess/jejugothic.css);

.jejugothic * { 
 font-family: 'Jeju Gothic', sans-serif;
}",https://www.jeju.go.kr/jeju/symbol/font/infor.htm,여행을 많이 다니다 보면 알게 될거야,
제주명조,13,"font-family: 'Jeju Myeongjo', serif;","@import url(//fonts.googleapis.com/earlyaccess/jejumyeongjo.css);

.jejumyeongjo * { 
 font-family: 'Jeju Myeongjo', serif;
}
",https://www.jeju.go.kr/jeju/symbol/font/infor.htm,사람은 왜 태어나고 죽는 건지 알 수 없어,
제주한라산,13,"font-family: 'Jeju Hallasan', cursive;","@import url(//fonts.googleapis.com/earlyaccess/jejuhallasan.css);

.jejuhallasan * {
 font-family: 'Jeju Hallasan', cursive;
}
",https://www.jeju.go.kr/jeju/symbol/font/infor.htm,아마존 웹 서비스 크레딧은 좋은거야,
한나체,14,"font-family: 'Hanna', fantasy;","@import url(//fonts.googleapis.com/earlyaccess/hanna.css);

.hanna * {
 font-family: 'Hanna', fantasy;
}",http://font.woowahan.com/hanna11yrs/,이 페이지에는 우아한형제들의 폰트가 적용되어 있습니다.,
전라북도체,15,font-family: 'CHONBUKL';,,http://dcomz.com/dcomzbbs/bbs/board.php?bo_table=download#,눈누난나는 디자이너 한명에 개발자 두명,
김제시체,16,font-family: 'GIMJE-L';,,http://dcomz.com/dcomzbbs/bbs/board.php?bo_table=download#,폰트 저작권 삥뜯기 그만했으면 좋겠다,
서울남산체,17,font-family: 'SeoulNamsanM';,,http://www.seoul.go.kr/v2012/seoul/symbol/font.html#,스타트업 디자이너분들 모두 힘내세요!,
서울한강체,17,font-family: 'SeoulHangangM';,,http://www.seoul.go.kr/v2012/seoul/symbol/font.html#,사장님들이 폰트를 좋게 사줬으면 눈누난나가 있었을까요,
아리따돋움,18,font-family: 'Arita-dotum-Light';,,http://www.apgroup.com/int/ko/about-us/visual-identity/arita-typeface.html,이 제작물은 아모레퍼시픽의 아리따글꼴을 사용하여 디자인 되었습니다.,
아리따부리,18,font-family: 'Arita-buri-Light';,,http://www.apgroup.com/int/ko/about-us/visual-identity/arita-typeface.html,이 제작물은 아모레퍼시픽의 아리따글꼴을 사용하여 디자인 되었습니다.,
주아체,14,font-family: 'BMJUA';,,http://font.woowahan.com/jua/,너무 다른 사람들을 의식하면서 살 필요없어,
연성체,14,font-family: 'BMYEONSUNG';,,http://font.woowahan.com/yeonsung/,가을은 하늘이 높아지고 말과 내가 살찌는 계절이지,
도현체,14,font-family: 'BMDOHYEON';,,http://font.woowahan.com/dohyeon/,여름 너무 더워..빨리 가을됐으면,
한둥근바탕,4,font-family: 'WONBatang';,,http://font.co.kr/yoonfont/free/free_won.asp,아무말 대잔치라는게 어디 따로있는게 아냐.,
한둥근제목,4,font-family: 'WONDotum';,,http://font.co.kr/yoonfont/free/free_won.asp,무료로 배포된 폰트들은 많이 알려져야할 필요가 있어,
윤고래체,4,font-family: 'YunTaemin'; font-size:120%; line-height:0.85;,,http://font.co.kr/yoonfont/free/free_2015_HandWriting.asp,무료폰트 예쁜거 많다고 하는 사람들 그 폰트 좀 줬으면,
김남윤체,4,font-family: 'KimNamyun';,,http://font.co.kr/yoonfont/free/free_2015_HandWriting.asp,대표님 폰트 사주세요! 팀장님 폰트 사주세요! 클라이언트님 폰트 사주세요!,
이숲체,4,font-family: 'LeeHyunJi';,,http://font.co.kr/yoonfont/free/free_2015_HandWriting.asp,개인적으로 이숲체 귀엽고 예쁜 것 같아요. 이숲체 귀여워요,
Yoon 아혜,4,font-family: 'YoonSAH';,,http://font.co.kr/yoonfont/free/free_calli.asp,손글씨폰트를 어디에 써야 적절할까..다들 어디에 쓰나요?,
Yoon 다정,4,font-family: 'YoonSDJ';,,http://font.co.kr/yoonfont/free/free_calli.asp,손글씨 폰트 보기엔 귀엽긴한데 어디써야할지 모르겠어요,
Yoon 형오,4,font-family: 'YoonSHO';,,http://font.co.kr/yoonfont/free/free_calli.asp,노래 엄청 크게 틀어놓고 편안한 소파에 앉아서 맥주 마신다,
